polymer,size_class,shape,aging,n_scenarios,baseline_mean_risk,mc_mean_risk,mc_sd_risk,mean_prob_severe,mean_prob_high_or_severe,mean_uncertainty_band,stable_classification_rate
PE,nano-scale,fragment,UV-aged,432,0.502306403259609,0.5021127035252694,0.01780901874810757,0.04994598765432099,0.42289351851851853,0.058024258290403315,0.8287037037037037
PE,submicron-to-small,fiber,UV-aged,216,0.5001290246883057,0.4999496080570019,0.017724599430312092,0.0503858024691358,0.4158024691358025,0.057916568011855914,0.8194444444444444
PE,submicron-to-small,fragment,oxidized,216,0.4997463883164111,0.49965439967300357,0.017672432027635184,0.04873456790123457,0.4153703703703704,0.0576378127425896,0.8287037037037037
PP,nano-scale,fragment,UV-aged,432,0.49878215233567197,0.4986120255132504,0.017645888205167264,0.04521604938271605,0.41604166666666664,0.057495039051058114,0.8356481481481481
PP,submicron-to-small,fiber,UV-aged,216,0.49688797746454844,0.49669176797052156,0.017614846433014367,0.04640432098765432,0.41050925925925924,0.05719214672817206,0.8379629629629629
PP,submicron-to-small,fragment,oxidized,216,0.49642521255231564,0.49631059235122277,0.017703187326740574,0.04516975308641976,0.4099382716049383,0.057491571030975096,0.8240740740740741
PVC,nano-scale,fragment,UV-aged,432,0.49640828595044223,0.49630516211075293,0.017683617164301852,0.037816358024691354,0.4105864197530864,0.05762281499540625,0.8263888888888888
PVC,submicron-to-small,fiber,UV-aged,216,0.49643830225049934,0.4962773250164543,0.017681831723303638,0.04083333333333333,0.41000000000000003,0.05767927111266207,0.8333333333333334
PS,submicron-to-small,fragment,UV-aged,216,0.49602609935058234,0.49596705041095696,0.017561042819316107,0.04152777777777778,0.4087654320987654,0.05721369088482785,0.8287037037037037
PVC,submicron-to-small,fragment,oxidized,216,0.4955694857331069,0.4953087276526449,0.017663434848158733,0.03921296296296296,0.4082098765432099,0.057444852058920984,0.8379629629629629
PS,nano-scale,sphere,oxidized,432,0.49455762323763425,0.49453050587321307,0.017519502403704937,0.03770833333333333,0.40665123456790125,0.05697418525519269,0.8263888888888888
PS,small microplastic,fiber,oxidized,216,0.49273172187827474,0.49275236119195437,0.017542201723885587,0.03853395061728396,0.4009413580246914,0.05722165651800827,0.8379629629629629
PET,submicron-to-small,fiber,UV-aged,216,0.48970611164761846,0.48964630769967443,0.01743860124076228,0.034382716049382714,0.3964043209876543,0.056958744971909295,0.8472222222222222
PET,nano-scale,fragment,UV-aged,432,0.48938639757525776,0.48923905588755623,0.017409890527512954,0.031288580246913576,0.39584876543209874,0.05671493153294005,0.8333333333333334
PET,submicron-to-small,fragment,oxidized,216,0.48875863366001127,0.4886380999102195,0.017332489905871287,0.03316358024691358,0.39399691358024697,0.05643779187263074,0.8425925925925926
PS,nano-scale,fiber,pristine,432,0.486159315451944,0.48610415783402533,0.0172698668403479,0.03202160493827161,0.39003086419753086,0.05612477475464333,0.8472222222222222
PE,nano-scale,sphere,oxidized,432,0.48606203064682973,0.48593617128748906,0.017257687400631345,0.034776234567901236,0.38994598765432104,0.05626851935706137,0.8379629629629629
PE,submicron-to-small,fragment,UV-aged,216,0.4859243281626774,0.4858312734264647,0.017295291853798387,0.035848765432098764,0.39067901234567903,0.05638998878220068,0.8425925925925926
PP,submicron-to-small,fragment,UV-aged,216,0.4825097826921491,0.482489015357669,0.01713647246885643,0.03279320987654321,0.38364197530864197,0.05578630150588753,0.8425925925925926
PS,submicron-to-small,sphere,oxidized,216,0.48227032554038046,0.4822815990858007,0.01717128852860159,0.031203703703703706,0.3816820987654321,0.055967033050418676,0.8472222222222222
PP,nano-scale,sphere,oxidized,432,0.4824153010386705,0.4822654214815118,0.01721864332424934,0.03158179012345679,0.38152777777777774,0.05604587757548149,0.8495370370370371
PS,nano-scale,sphere,UV-aged,432,0.4815141032274158,0.48145091605388907,0.017135433991233608,0.028850308641975308,0.37936728395061725,0.05577211409218843,0.8541666666666666
PVC,submicron-to-small,fragment,UV-aged,216,0.48155808554943774,0.48139542328732005,0.017103950558898903,0.02876543209876543,0.38083333333333336,0.05580967432960042,0.8518518518518519
PS,small microplastic,fragment,oxidized,216,0.4811979869741903,0.4810878840160672,0.01715300301823107,0.03013888888888889,0.3802932098765432,0.0558543338026181,0.8564814814814815
